lat,lng,periodo,fecha,dia,horario,horario_hasta,evento,lugar,direccion,descripcion,organiza,barrio,comuna,codigo_postal,codigo_postal_arg
-34.576177,-58.483568000000005,201703,04/03/2017,SABADO,22 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,04/03/2017,SABADO,15 h,,"Mimi y Mini, una aventura ecológica",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Musical infantil con un despliegue de coreografías enérgicas, muñecos, títeres, patinadores y hasta un dragón chino. A través del humor “Mimicha” aborda el cuidado de nuestro Medio Ambiente.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.637458,-58.40756,201703,04/03/2017,SABADO,16 h,,Gabo para chicos. Narración oral por Daniel Hernández,Biblioteca Enrique Banchs - Av. Caseros y Urquiza, Av. Caseros y Urquiza,"Un acercamiento a través de pequeños relatos, a Cien años de soledad, obra maestra del nobel colombiano Gabriel García Márquez, que este año cumple 50 años de haber sido publicada en Buenos Aires.",Dirección General del Libro y Promoción de la Lectura,,,,
-34.586496000000004,-58.391578,201703,04/03/2017,SABADO,19 h,,DJ Sonido Parrandero + Todopoderoso Popular Marcial,Terraza. Centro Cultural Recoleta, Junín 1930,"Recital como parte de la programación de música en la terraza.  Fernando Isaías con un acervo discográfico único + orquesta de vientos de bronce y percusión, fusión de música latinoamericana, cumbias y géneros andinos, conformada por 16 músicos. Entrada gratuita. ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,04/03/2017,SABADO,20 h,,CINE: Lago de luciérnagas,Microcine.Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Cine Radar, cineastas sub 30 presentan sus largometrajes. Dirección: Florencia Iwabuti y Samir Marun Helo",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,04/03/2017,SABADO,21.50 h,,CINE: Los habitantes de la casa del diablo,Microcine.Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Cine Radar, cineastas sub 30 presentan sus largometrajes. Dirección: Iván Reina Ortiz",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,05/03/2017,DOMINGO,18 h,,Christiane. Un bio-musical científico,"Sala 3, El Cultural San Martín", Sarmiento 1551,"Parte del ciclo de obras Una Voz de Dennis Smith. Un bio-musical científico sobre la vida de Christiane Dosne Paqualini, una figura fundamental a nivel internacional en la investigación de la leucemia. Dirigida por Belén Pasqualini.",DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,05/03/2017,DOMINGO,18 h,,CINE: Testigo en peligro,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1983.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,05/03/2017,DOMINGO,20.30 h,,CINE:La costa mosquito,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1986.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,05/03/2017,DOMINGO,20.45 h,,CINE: Casta de malditos,"Sala 2,El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Stanley Kubrick. Una película de 1956.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,05/03/2017,DOMINGO,19 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,05/03/2017,DOMINGO,15 h,,"Mimi y Mini, una aventura ecológica",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Musical infantil con un despliegue de coreografías enérgicas, muñecos, títeres, patinadores y hasta un dragón chino. A través del humor “Mimicha” aborda el cuidado de nuestro Medio Ambiente.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.586496000000004,-58.391578,201703,05/03/2017,DOMINGO,19 h,,CINE: Hermosos Perdedores Pop,Microcine.Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Cine independiente ""7+1"", en Marzo y abril se presentan 7 peliculas de directores del cine emergente, de la mano de una película dirigida por un consagrado.  ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,05/03/2017,DOMINGO,19 h,,DJ Sonido Parrandero + Orkesta Popular San Bomba,Terraza. Centro Cultural Recoleta, Junín 1930,Recital como parte de la programación de música en la terraza.   ,DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.576177,-58.483568000000005,201703,07/03/2017,MARTES,20.30 h,,La cumbancha de Agustín Lara,Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Musical homenaje al compositor mexicano, realización del grupo Los Amados.",Centro Cultural 25 de Mayo,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.599315000000004,-58.510893,201703,07/03/2017,MARTES,17 h,,"Taller de la memoria, estrés y calidad de vida",Biblioteca Antonio Devoto, Bahía Blanca 4025,Taller dictado por Graciela Detorres. Inscripción previa: contactodgl@buenosaires.gob.ar,Dirección General del Libro y Promoción de la Lectura,Villa Devoto,Comuna 11,1419.0,C1419BAI
-34.576177,-58.483568000000005,201703,08/03/2017,MIERCOLES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",Centro Cultural 25 de Mayo,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.593641999999996,-58.385951,201703,08/03/2017,MIERCOLES,18 h,,Taller de producción poética,Biblioteca Ricardo Güiraldes, Talcahuano 1261,"Dictado por Natalia Litvinova. Inscripción previa: contactodgl@buenosaires.gob.ar
",Dirección General del Libro y Promoción de la Lectura,Retiro,Comuna 1,1014.0,C1014ADA
-34.581352,-58.423875,201703,08/03/2017,MIERCOLES,18 h,,Taller de escritura: narrativa,Biblioteca Carlos Guido y Spano, Güemes 4601,"El escritor Marcial Gala impartirá el taller ""La insoportable levedad del escritor solitario"", para explorar las diversas técnicas narrativas que hacen posible la creación de novelas, cuentos y guiones cinematográficos. Inscripción previa: contactodgl@buenosaires.gob.ar. 
",Dirección General del Libro y Promoción de la Lectura,Palermo,Comuna 14,1425.0,C1425BLI
-34.605371000000005,-58.388586,201703,09/03/2017,JUEVES,20.30 h,,CINE:La costa mosquito,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1986.,El Cultural San Martín,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,09/03/2017,JUEVES,18 h,,CINE: The Truman show,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1998.,El Cultural San Martín,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,09/03/2017,JUEVES,17.30 h,,CINE: Casta de malditos,"Sala 2,El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Stanley Kubrick. Una película de 1956.,El Cultural San Martín,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,09/03/2017,JUEVES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",Centro Cultural 25 de Mayo,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.593641999999996,-58.385951,201703,09/03/2017,JUEVES,16 h,,Mujeres migrantes,Biblioteca Ricardo Güiraldes, Talcahuano 1261,V Encuentro Internacional de Lectura ininterrumpida contra la Violencia y la Trata de Personas. ,Dirección General del Libro y Promoción de la Lectura,Retiro,Comuna 1,1014.0,C1014ADA
-34.597887,-58.429804000000004,201703,09/03/2017,JUEVES,19.30 h,,La clase viva. Entrevistando a Tadeusz Kantor ,Casa de la Lectura/Biblioteca Julio Cortázar, Lavalleja 924,"Instalación audiovisual. El público, inserto en un espacio kantoriano, asiste a una entrevista en vivo generada a partir de entrevistas reales en las que el autor polaco opina sobre el arte, sobre las instituciones, los críticos, la relación con los actores, etc.  ",Dirección General del Libro y Promoción de la Lectura,Villa Crespo,Comuna 15,1414.0,C1414DTT
-34.586496000000004,-58.391578,201703,09/03/2017,JUEVES,18 h,,Los Cuentos Completos,Patio del Aljibe. Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Radar Literatura, se presentan, el segundo jueves de cada mes, distintos encuentros que fusionan la litratura, el teatro, el spoken word, la música,el dibujo, el free style y otras corrientes culturales.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,09/03/2017,JUEVES,21 h,,Mis días sin Victoria,Capilla. Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Teatro Radar, dramaturgos sub 30. En esta oportunidad un banquete performático del diario personal de la Directora, Belén Arena. ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,10/03/2017,VIERNES,22 h,,CINE: Pink Floyd: The Wall,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo el Cultural de Culto. Una película de Alan Parker (1982).,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,10/03/2017,VIERNES,19.30 h,,CINE: Gallipoli,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1981.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,10/03/2017,VIERNES,17 h,,CINE: El año que vivimos en peligro,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1982.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,10/03/2017,VIERNES,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",DGCCGSM,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,10/03/2017,VIERNES,22 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.614717999999996,-58.388141000000005,201703,10/03/2017,VIERNES,18 h,,"GrisCelda, la feminización de la pobreza. Obra de teatro en conmemoración del Día de la Mujer","Biblioteca Alfonsina Storni, Biblioteca de la Mujer", Venezuela 1538,"La obra es la síntesis de una lucha interna que se debate entre la prisión cultural y la libertad de pensamiento y de decisión. Con Silvia Pereira y Roberto Vinogradski. Dirección de Claudia Quiroga.
",Dirección General del Libro y Promoción de la Lectura,Monserrat,Comuna 1,1095.0,C1095ABF
-34.597887,-58.429804000000004,201703,10/03/2017,VIERNES,19 h,,CINE: Scialla ,Casa de la Lectura/Biblioteca Julio Cortázar, Lavalleja 924,"Cine para lectores, parte del ciclo Viaje a Italia. En esta oportunidad una película de Francesco Bruni.",Dirección General del Libro y Promoción de la Lectura,Villa Crespo,Comuna 15,1414.0,C1414DTT
-34.586496000000004,-58.391578,201703,10/03/2017,VIERNES,21 h ,,CINE: Fuga de la Patagonia,Microcine.Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Cine independiente ""7+1"", en Marzo y abril se presentan 7 peliculas de directores del cine emergente, de la mano de una película dirigida por un consagrado.  En este caso, se trata de una película dirigida por Javier Zevallos y Francisco D'Eufemia.",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,10/03/2017,VIERNES,21 h,,Mis días sin Victoria,Capilla. Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Teatro Radar, dramaturgos sub 30. En esta oportunidad un banquete performático del diario personal de la Directora, Belén Arena. ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,11/03/2017,SABADO,21 h,,Un viajero atrapado en un proyectil,"Sala A, El Cultural San Martín", Sarmiento 1551,"Largometraje realizado para presentarse en tres pantallas en simultáneo, con una con instalación sonora de 7.2, y una banda de músicos interpretando en vivo la
música compuesta originalmente para el film. Autoría y dirección: Luigi Voglino / Elenco: Jada Sirkin, Vera Truman, Catalina López Imizcoz, Facundo de
Vedia, He rnán Rosselli",DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,11/03/2017,SABADO,20 h,,CINE: La luz incidente,"Sala 1, El Cultural San Martín", Sarmiento 1551,Una película de Ariel Rotter,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,11/03/2017,SABADO,22 h,,CINE: La casa cercana al cementerio,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo el Cultural de Culto Extremo. Una película de Lucio Fulci (1981).,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,11/03/2017,SABADO,17 h,,CINE: Testigo en peligro,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1983.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.576177,-58.483568000000005,201703,11/03/2017,SABADO,20 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,11/03/2017,SABADO,22 h,,"Filomena Marturano, matrimonio a la italiana",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Obra de teatro ambientada en la década del 40. Con Claudia Lapacó, Antonio Grimau, Talo Silveyra, Ignacio Pérez Cortés, Luciano Correa, Milagros Almeida, Hernán Jiménez y María Rojí.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.576177,-58.483568000000005,201703,11/03/2017,SABADO,15 h,,"Mimi y Mini, una aventura ecológica",Centro Cultural 25 de Mayo,Av. Triunvirato 4444,"Musical infantil con un despliegue de coreografías enérgicas, muñecos, títeres, patinadores y hasta un dragón chino. A través del humor “Mimicha” aborda el cuidado de nuestro Medio Ambiente.",CC 25 MAYO,Villa Urquiza,Comuna 12,1431.0,C1431FBU
-34.597887,-58.429804000000004,201703,11/03/2017,SABADO,11 h,,Editatón Día de la Mujer ¡Visibilicemos a las mujeres en wikipedia! ,Casa de la Lectura/Biblioteca Julio Cortázar, Lavalleja 924,"Festejamos el día de la mujer editando en wikipedia biografías de escritoras, activistas, artistas y científicas. ",Dirección General del Libro y Promoción de la Lectura,Villa Crespo,Comuna 15,1414.0,C1414DTT
-34.586496000000004,-58.391578,201703,11/03/2017,SABADO,17 h ,,"GIMNASTAS, atrpados entre el amor y la gloria",Capilla. Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Teatro Radar, dramaturgos sub 30. En esta oportunidad una epopeya infanto juvenil noventosa, de Emilia Dulom. ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,11/03/2017,SABADO,21.50 h,,CINE: Los habitantes de la casa del diablo,Microcine.Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Cine Radar, cineastas sub 30 presentan sus largometrajes. Dirección: Iván Reina Ortiz",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,11/03/2017,SABADO,20 h ,,Lago de Luciérnagas,Microcine.Centro Cultural Recoleta, Junín 1930,"Parte del Ciclo de Cine Radar, cineastas sub 30 presentan sus largometrajes. Dirección: Florencia Iwabuti y Samir Marun Helo",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.586496000000004,-58.391578,201703,11/03/2017,SABADO,16 h,,FDL Crew,Patio del Aljibe y Sala 6. Centro Cultural Recoleta, Junín 1930,"Como parte del Ciclo Cultura Hip Hop, todos los sábados del año, jóvenes artistas nacionales comparten pista de baile, murales, bandejas, junto a Fuera de Límite Crew, cmo colectivo artístico resdente. ",DGCCR,Recoleta,Comuna 2,1113.0,C1113AAX
-34.605371000000005,-58.388586,201703,12/03/2017,DOMINGO,20 h,,Un viajero atrapado en un proyectil,"Sala A, El Cultural San Martín", Sarmiento 1551,"Largometraje realizado para presentarse en tres pantallas en simultáneo, con una con instalación sonora de 7.2, y una banda de músicos interpretando en vivo la
música compuesta originalmente para el film. Autoría y dirección: Luigi Voglino / Elenco: Jada Sirkin, Vera Truman, Catalina López Imizcoz, Facundo de
Vedia, He rnán Rosselli",DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
-34.605371000000005,-58.388586,201703,12/03/2017,DOMINGO,18 h,,CINE: La sociedad de los poetas muertos,"Sala 1, El Cultural San Martín", Sarmiento 1551,Parte del Ciclo Peter Weir. Una película de 1989.,DGCCGSM,San Nicolas,Comuna 1,1042.0,C1042ABC
